27.03.2021 09:29:08; :) Message; Server     ; Set parameter - MAIN-LOG:0
27.03.2021 09:29:08; :) Message; Server     ; Set parameter - LOG-DETALES:1
27.03.2021 09:29:08; :) Message; Server     ; Set parameter - SERVER-PORT:37378
27.03.2021 09:29:08; :) Message; Server     ; Set parameter - WEBSOCKET-PORT:37377
27.03.2021 09:29:08; :) Message; Server     ; Set parameter - SERVER-AUTHT:0
27.03.2021 09:29:08; :) Message; Server     ; Set parameter - ALLOW-CORS:*
27.03.2021 09:29:08; :) Message; Server     ; web server start: 1.0 ...
27.03.2021 09:29:08; :) Message; Api        ; TCP server start
27.03.2021 09:29:08; :) Message; Api        ; WebSocket server start
27.03.2021 09:30:28; :) Message; Api        ; New HTML client
27.03.2021 09:30:28; :) Message; Api        ; Received new request...
27.03.2021 09:30:28; :) Message; Api        ; Received new request...
27.03.2021 09:30:28; :) Message; Api        ; TCP client closed
27.03.2021 09:30:51; :) Message; Api        ; New HTML client
27.03.2021 09:30:51; :) Message; Api        ; Received new request...
27.03.2021 09:30:51; :) Message; Api        ; Request swagger page...
27.03.2021 09:30:51; :) Message; Api        ; New HTML client
27.03.2021 09:30:51; :) Message; Api        ; Received new request...
27.03.2021 09:30:51; :) Message; Api        ; New HTML client
27.03.2021 09:30:51; :) Message; Api        ; Received new request...
27.03.2021 09:30:51; :) Message; Api        ; Received new request...
27.03.2021 09:30:52; :) Message; Api        ; Received new request...
27.03.2021 09:30:52; :) Message; Api        ; Received new request...
27.03.2021 09:31:34; :) Message; Api        ; Received new request...
27.03.2021 09:32:21; :) Message; Api        ; Received new request...
27.03.2021 09:32:21; :) Message; Api        ; Request get test...
27.03.2021 09:34:41; :) Message; Api        ; Received new request...
27.03.2021 09:35:11; :) Message; Api        ; Received new request...
27.03.2021 09:35:42; :) Message; Api        ; Received new request...
27.03.2021 09:35:45; :) Message; Api        ; New Web socket client. Opened 1 clients.
27.03.2021 09:35:49; :) Message; Api        ; Begin send message all Web socket clients...
27.03.2021 09:35:49; :) Message; Api        ; End sending message all Web socket clients...
27.03.2021 09:36:38; :) Message; Api        ; TCP client closed
27.03.2021 09:36:38; :) Message; Api        ; TCP client closed
27.03.2021 09:36:47; :) Message; Api        ; Received new request...
27.03.2021 09:36:47; :) Message; Api        ; Request swagger page...
27.03.2021 09:36:47; :) Message; Api        ; New HTML client
27.03.2021 09:36:47; :) Message; Api        ; New HTML client
27.03.2021 09:36:47; :) Message; Api        ; Received new request...
27.03.2021 09:36:47; :) Message; Api        ; Received new request...
27.03.2021 09:36:48; :) Message; Api        ; Received new request...
27.03.2021 09:36:48; :) Message; Api        ; Received new request...
27.03.2021 09:36:58; :) Message; Api        ; Received new request...
27.03.2021 09:36:58; :) Message; Api        ; Request post test...
27.03.2021 09:37:09; :) Message; Api        ; Received new request...
27.03.2021 09:37:09; :) Message; Api        ; Request get test...
